Kendrick Lamar - Squabble Up
Billie Eilish - Lunch
Rema - Yayo
Tyla, Gunna & Skillibeng - Jump
Central Cee & Lil Baby - Band4Band
Ezra Collective & Yazmin Lacey - God Gave Me Feet for Dancing
The Red Clay Strays - Ramblin’
Fontaines D.C. - Favourite
Asake & Travis Scott - Active
Shaboozey - A Bar Song (Tipsy)
Bonny Light Horseman - Old Dutch
Rae Khalil - Is It Worth It
Beyoncé - Texas Hold ‘Em
Jordan Adetunji - Kehlani
Artemas - I Like the Way You Kiss Me
Johnny Blue Skies - Scooter Blues
Hozier - Too Sweet
Leon Bridges - Peaceful Place
Tommy Richman - Million Dollar Baby
Waxahatchee & MJ Lenderman - Right Back to It
Myles Smith - Stargazing
Jack White - That’s How I’m Feeling
Moses Sumney - Gold Coast
